,translation,zh,sim
0,1929年或1989年？,1929年还是1989年?,1
1,巴黎 - 随着经济危机的加深和加宽，世界一直在寻找历史类比来帮助我们理解正在发生的事情。,巴黎-随着经济危机不断加深和蔓延，整个世界一直在寻找历史上的类似事件希望有助于我们了解目前正在发生的情况。,1
2,在危机开始时，很多人把它比做1982年或1973年，这是令人欣慰的，因为这两个日期均指传统的周期性衰退。,一开始，很多人把这次危机比作1982年或1973年所发生的情况，这样得类比是令人宽心的，因为这两段时期意味着典型的周期性衰退。,1
3,今天，心情是非常严峻，与开始的比比皆是，即使有些国家的政府继续表现得好像危机较特殊的更经典的到1929年和1931年的引用。,如今人们的心情却是沉重多了，许多人开始把这次危机与1929年和1931年相比，即使一些国家政府的表现仍然似乎把视目前的情况为是典型的而看见的衰退。,1
4,目前的趋势是要么过度限制（欧洲）或努力的扩散（美国）。,目前的趋势是，要么是过度的克制（欧洲），要么是努力的扩展（美国）。,1
5,欧洲正在避免债务和捍卫欧元的名义持谨慎态度，而美国是为了不浪费实行急需的结构性改革的理想时机移动在许多方面。,欧洲在避免债务和捍卫欧元的名义下正变得谨慎，而美国已经在许多方面行动起来，以利用这一理想的时机来实行急需的结构性改革。,1
6,对于地缘战略家，但是，顺其自然一年想到，在政治和经济的，是1989年。,然而，作为地域战略学家，无论是从政治意义还是从经济意义上，让我自然想到的年份是1989年。,1
7,当然，雷曼兄弟的房子秋季无关随着柏林墙的倒塌。,当然，雷曼兄弟公司的倒闭和柏林墙的倒塌没有任何关系。,1
8,的确，从表面上看这似乎是其完美的对立面：墙壁符号化的压迫和人为划分与金融资本主义的一个看似坚不可摧和安心机构的崩溃瓦解。,事实上，从表面上看，两者似乎是完全是相反的：一个是象征着压抑和人为分裂的柏林墙的倒塌，而另一个是看似坚不可摧的并令人安心的金融资本主义机构的倒塌。,1
9,然而，2008- 2009年，1989年一样，很可能对应于一个划时代的变化，其后果展开将持续几十年。,然而，和1989年一样，2008-2009年很可能也能被视为一个划时代的改变，其带来的发人深省的后果将在几十年后仍能让我们感受得到。,1
10,东西方意识形态分歧的结束和对市场的绝对信赖的结尾是历史的转折点。,东西方意识形态鸿沟的结束，以及对市场绝对信心的后果，都是历史的转折点。,1
11,会发生什么，在2009年可能会危及一些1989年的积极成果，包括欧洲的和平统一和民主原则在民族主义的胜利，如果不是排外，倾向。,而2009年所发生的事情可能会威胁1989年革命所带来的积极成果，包括欧洲的和平统一和民主制度战胜了民族主义倾向，如果不是恐外倾向的话。,1
12,1989年，自由民主战胜了由苏联阵营体现，促进了社会主义意识形态。,1989年，自由民主战胜了由苏联集团具体化并推崇的社会主义意识形态。,1
13,对于许多他的支持者，这是里根总统是谁，他的军备竞赛升级故意，推动了苏联经济的边缘，从而充分显示了自由社会和自由市场的优势。,对于里根总统的许多的支持者来说，就是他精心策划的军备竞赛的升级，把苏联经济推向了崩溃的边缘，从而充分显示了自由社会和自由市场的优越性。,1
14,当然，也有1989年和现在之间明显的差异。,当然，现在的情况和1989年的情况明显不同了。,1
15,首先，也许是最重要的，1989年的革命和苏联的崩溃以后杜绝全球两极。,首先，也许是最重要的，1989年的革命和随后的苏联解体结束了全球的两极化。,1
16,相比之下，2009年很有可能铺平道路两极的一种新形式，但随着中国取代了苏联。,与此相反，2009年很可能会为一种新的两极化形式铺平道路，只是中国取代了苏联。,1
